county,crop,year,area_ha,production_tons,yield_tha
Taita Taveta,Potatoes,2021,738.0,1360.0,1.8428184281842819
Taita Taveta,Potatoes,2022,739.0,619.0,0.8376184032476319
Taita Taveta,Potatoes,2023,553.0,2467.0,4.461121157323689
Taita Taveta,Potatoes,2024,564.0,2172.0,3.851063829787234
Taita Taveta,Potatoes,2025,537.0,752.0,1.4003724394785848
Makueni,Potatoes,2021,46.0,262.0,5.695652173913044
Makueni,Potatoes,2022,45.0,270.0,6.0
Makueni,Potatoes,2023,75.0,330.0,4.4
Makueni,Potatoes,2024,71.0,311.0,4.380281690140845
Makueni,Potatoes,2025,36.0,200.0,5.555555555555555
Kakamega,Potatoes,2021,23.0,196.0,8.521739130434783
Kakamega,Potatoes,2022,14.0,125.0,8.928571428571429
Kakamega,Potatoes,2023,8.0,90.0,11.25
Kakamega,Potatoes,2024,10.0,125.0,12.5
Kakamega,Potatoes,2025,8.0,134.0,16.75
Tharaka-Nithi,Potatoes,2021,50.0,525.0,10.5
Tharaka-Nithi,Potatoes,2022,20.0,4.0,0.2
Tharaka-Nithi,Potatoes,2023,61.0,538.0,8.819672131147541
Tharaka-Nithi,Potatoes,2024,11.0,141.0,12.818181818181818
Tharaka-Nithi,Potatoes,2025,5.0,65.0,13.0
Mandera,Potatoes,2021,0.0,0.0,0.0
Mandera,Potatoes,2022,0.0,0.0,0.0
Mandera,Potatoes,2023,0.0,0.0,0.0
Mandera,Potatoes,2024,0.0,0.0,0.0
Mandera,Potatoes,2025,43.5,62.0,1.4252873563218391
Nairobi,Potatoes,2021,35.0,246.0,7.0285714285714285
Nairobi,Potatoes,2022,19.0,99.0,5.2105263157894735
Nairobi,Potatoes,2023,26.0,135.0,5.1923076923076925
Nairobi,Potatoes,2024,31.0,243.0,7.838709677419355
Nairobi,Potatoes,2025,9.0,39.0,4.333333333333333
Isiolo,Potatoes,2021,0.0,0.0,0.0
Isiolo,Potatoes,2022,0.0,0.0,0.0
Isiolo,Potatoes,2023,0.0,0.0,0.0
Isiolo,Potatoes,2024,0.0,0.0,0.0
Isiolo,Potatoes,2025,5.0,31.0,6.2
Nyamira,Potatoes,2021,18.0,190.0,10.555555555555555
Nyamira,Potatoes,2022,22.0,220.0,10.0
Nyamira,Potatoes,2023,20.0,122.0,6.1
Nyamira,Potatoes,2024,20.0,148.0,7.4
Nyamira,Potatoes,2025,4.0,90.0,22.5
Vihiga,Potatoes,2021,0.0,0.0,0.0
Vihiga,Potatoes,2022,0.0,0.0,0.0
Vihiga,Potatoes,2023,0.0,0.0,0.0
Vihiga,Potatoes,2024,0.0,0.0,0.0
Vihiga,Potatoes,2025,2.3,1.3,0.5652173913043479
Uasin Gishu,Potatoes,2021,7237.0,56659.0,7.829072820229377
Uasin Gishu,Potatoes,2022,6856.0,50853.0,7.417298716452742
Uasin Gishu,Potatoes,2023,7699.0,55590.0,7.220418236134563
Uasin Gishu,Potatoes,2024,5366.0,70139.0,13.071002609019754
Uasin Gishu,Potatoes,2025,7739.0,139312.0,18.00129215660938
Elgeyo-Marakwet,Potatoes,2021,31370.0,425964.0,13.5787057698438
Elgeyo-Marakwet,Potatoes,2022,28670.0,276700.0,9.651203348447854
Elgeyo-Marakwet,Potatoes,2023,25143.0,259252.0,10.311100505110767
Elgeyo-Marakwet,Potatoes,2024,23967.0,279273.0,11.652397045938166
Elgeyo-Marakwet,Potatoes,2025,34142.0,275466.0,8.068244391072579
